treatment,Shoot dry weight(g),Root dry weight(g),POD,CAT,SOD,PPO,MDA,JA,SA,NO,Mycorrhizal colonization(%),Transpiration rate,Net photosynthetic rate,Stomatal conductance,Intercellular CO2 Concentration
Donor-P-,1.731280228,0.132,7267.286 ,74.580 ,378.190 ,56.769 ,27.361 ,1.591 ,77.309 ,0.071625 ,90.00 ,2.658 ,18.93 ,99.7 ,151.5 
Donor-P-,2.991038251,0.252193252,4867.000 ,81.360 ,412.207 ,22.800 ,29.956 ,1.526 ,73.018 ,0.123500 ,80.00 ,1.758 ,16.37 ,64.0 ,149.4 
Donor-P-,2.187194929,0.23174026,7365.600 ,40.680 ,424.746 ,21.818 ,26.955 ,3.143 ,94.042 ,0.216375 ,75.00 ,0.880 ,9.46 ,31.8 ,179.3 
Donor-P-,2.886001166,0.241340426,6820.000 ,62.150 ,425.826 ,20.182 ,26.393 ,2.716 ,111.437 ,0.303875 ,75.00 ,0.481 ,7.70 ,17.7 ,286.6 
Donor-P-,2.607302176,0.226016736,4807.385 ,28.250 ,504.033 ,53.455 ,24.487 ,2.836 ,93.996 ,0.147250 ,80.00 ,0.743 ,9.78 ,26.9 ,189.0 
NM-U-P-,3.87 ,0.58 ,1386.545 ,1035.491 ,81.945 ,112.800 ,17.039 ,1.587 ,78.154 ,0.108000 ,,1.245 ,7.37 ,45.7 ,204.6 
NM-U-P-,2.81 ,0.43 ,1078.800 ,1023.780 ,131.705 ,150.000 ,17.798 ,1.460 ,75.004 ,0.084125 ,,1.116 ,9.33 ,41.4 ,184.6 
NM-U-P-,2.93 ,0.39 ,1041.600 ,1058.723 ,114.000 ,152.727 ,8.317 ,1.253 ,83.450 ,0.168000 ,,1.028 ,6.59 ,42.1 ,179.8 
NM-U-P-,3.89 ,0.87 ,945.500 ,1193.280 ,104.297 ,148.000 ,8.848 ,2.190 ,77.492 ,0.069375 ,,0.733 ,6.93 ,38.7 ,177.0 
NM-U-P-,3.83 ,0.60 ,1078.800 ,1411.473 ,72.570 ,177.857 ,19.591 ,1.755 ,77.720 ,0.077250 ,,0.803 ,4.28 ,44.8 ,163.7 
NM-L-P-,2.86 ,0.46 ,892.800 ,820.380 ,385.315 ,151.200 ,14.548 ,3.287 ,91.851 ,0.277000 ,,2.388 ,7.89 ,90.3 ,182.7 
NM-L-P-,2.94 ,0.46 ,1031.455 ,920.143 ,310.200 ,208.000 ,11.655 ,2.812 ,106.620 ,0.303375 ,,2.588 ,9.81 ,96.7 ,173.4 
NM-L-P-,2.68 ,0.42 ,992.000 ,779.700 ,342.000 ,130.364 ,9.718 ,2.526 ,104.064 ,0.309375 ,,2.618 ,7.98 ,47.7 ,172.2 
